,0,1
21981.0,-4.920483333835821,-0.7855672787812958
22012.0,9.869603524572264,5.613605246335301
131.0,0.1428389755697339,-6.873496220203769
15.0,9.360684225963023,-2.5813221307961323
36.0,-4.596956863285727,5.562644575694261
21987.0,0.2324012178763296,3.165121570122017
17185.0,14.312284061368052,-2.664266642144581
69.0,-2.2353071162922253,4.46051198241364
19.0,-3.4137661188507584,-9.942201934528994
17197.0,12.325174840890208,10.742376095978477
23748.0,-5.770867429716011,7.533067049749623
22020.0,9.157847458015146,-7.42356505880056
21991.0,-3.335931411679109,-3.2724953145946563
100.0,-0.9826316087368296,-2.767373165903868
90.0,-0.3368231177049683,0.2605402266849049
13.0,-2.954736119211565,1.9047296305201444
22004.0,9.103280818735,0.9488736565397496
126.0,-6.4942145177822,3.2908055386087387
